Año,Identificador de la Orden,Rama de la Entidad,Sector de la Entidad,Entidad,Solicitante,Fecha,Proveedor,Estado,Solicitud,Items,Total,Agregacion,Ciudad,Entidad Obigada,EsPostconflicto
2016,8076,Organismos autónomo o independientes,Función Pública,REGISTRADURIA NACIONAL DEL ESTADO CIVIL,Javier Dario Sastoque Gómez,04/28/2016 12:00:00 AM,Seguros Generales Suramericana S.A.,Emitida,16177,1 Unidad of 110 MOTOS Hasta 100c.c.  1 Unidad of 120 MOTOS 100 a 200c.c.  1 Unidad of 130 MOTOS Más de 200c.c.  1 Unidad of 140 MOTOS Motocarros  1 Unidad of 211 CAMPEROS Y CAMIONETAS Hasta 1500c.c. 0 a 9 años 1 Unidad of 212 CAMPEROS Y CAMIONETAS Hasta 1500c.c. Más de 10 1 Unidad of 221 CAMPEROS Y CAMIONETAS 1500 a 2500c.c. 0 a 9 años 1 Unidad of 222 CAMPEROS Y CAMIONETAS 1500 a 2500c.c. Más de 10 1 Unidad of 231 CAMPEROS Y CAMIONETAS Más de 2500c.c. 0 a 9 años 1 Unidad of 232 CAMPEROS Y CAMIONETAS Más de 2500c.c. Más de 10 1 Unidad of 310 CARGA O MIXTO Hasta 5 toneladas  1 Unidad of 320 CARGA O MIXTO 5 a 15 toneladas  1 Unidad of 330 CARGA O MIXTO Más de 15 toneladas  1 Unidad of 410 OFICIALES ESPECIALES Hasta 1500c.c.  1 Unidad of 420 OFICIALES ESPECIALES 1500 a 2500c.c.  1 Unidad of 430 OFICIALES ESPECIALES Más de 2500 c.c.  1 Unidad of 511 AUTOS FAMILIARES Hasta 1500c.c. 0 a 9 años 1 Unidad of 512 AUTOS FAMILIARES Hasta 1500c.c. Más de 10 1 Unidad of 521 AUTOS FAMILIARES 1500 a 2500c.c. 0 a 9 años 1 Unidad of 522 AUTOS FAMILIARES 1500 a 2500c.c. Más de 10 1 Unidad of 531 AUTOS FAMILIARES Más de 2500c.c. 0 a 9 años 1 Unidad of 532 AUTOS FAMILIARES Más de 2500c.c. Más de 10 1 Unidad of 611 VEHICULOS PARA SEIS O MAS PASAJEROS Hasta 2500c.c. 0 a 9 años 1 Unidad of 612 VEHICULOS PARA SEIS O MAS PASAJEROS Hasta 2500c.c. Más de 10 1 Unidad of 621 VEHICULOS PARA SEIS O MAS PASAJEROS Más de 2500c.c. 0 a 9 años 1 Unidad of 622 VEHICULOS PARA SEIS O MAS PASAJEROS Más de 2500c.c. Más de 10 1 Unidad of 711 AUTOS DE NEGOCIOS Y TAXIS Hasta 1500c.c. 0 a 9 años 1 Unidad of 712 AUTOS DE NEGOCIOS Y TAXIS Hasta 1500c.c. Más de 10 1 Unidad of 721 AUTOS DE NEGOCIOS Y TAXIS 1500 a 2500c.c. 0 a 9 años 1 Unidad of 722 AUTOS DE NEGOCIOS Y TAXIS 1500 a 2500c.c. Más de 10 1 Unidad of 731 AUTOS DE NEGOCIOS Y TAXIS Más de 2500c.c. 0 a 9 años 1 Unidad of 732 AUTOS DE NEGOCIOS Y TAXIS Más de 2500c.c. Más de 10 1 Unidad of 810 BUSES Y BUSETAS DE SERVICIO PUBLICO URBANO   1 Unidad of 910 SERVICIO PUBLICO INTERMUNICIPAL Hasta 10 pasajeros  1 Unidad of 920 SERVICIO PUBLICO INTERMUNICIPAL Más de 10 pasajeros,37483803.00,SOAT II,Bogotá,No obligada,ND
2014,101,No Definida,,DEPARTAMENTO ADMINISTRATIVO DEL DEPORTE  LA RECREACION  LA ACTIVIDAD FISICA Y EL APROVECHAMIENTO DEL TIEMPO LIBRE,Elsa Rosalba Hernández Morales,03/06/2014 12:00:00 AM,Organización Terpel S.A.,Emitida,220,40 000 000 Peso (COP) of Combustible Terpel - Bogotá,40000000.00,Combustible (Bogotá),Bogotá,,ND
2016,10020,Ejecutiva,Justicia y del Derecho,ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE CARTAGENA,Eduardo Enrique Millan Amador,08/19/2016 12:00:00 AM,MAKRO SUPERMAYORISTA S.A.S,Emitida,19507,20 Unidad of ATUN LOMO AGUA M&K 6 unds X 170 g 15 Unidad of AZUCAR BLANCO RIOPAILA 25undX500g 10 Unidad of CHOCOLISTO 3und DOY PACK X 200 g 10 Unidad of LECHE ENTERA COOLECHERA 3uX380g 10 Unidad of CHOCOLATINA GOL PLEGADIZA 24undX672g 100 Unidad of CHEESE TRIS 6und X52g 10 Unidad of MANI LA ESPECIAL KRAKS 24 undX30g 50 Unidad of PAPA NATURAL MARGARITA 12und X25g 50 Unidad of PAPA POLLO MARGARITA 12undX25g 15 Unidad of PLATANITOS NATUCHIPS MADURO 12undX28g 15 Unidad of PLATANITOS NATUCHIPS VERDE12undX28g 99 Unidad of DETODITO MIX PAQUETON 6 un X 45g 30 Unidad of GALLETAS TOSH MIEL 3 PQ X 270 g 100 Unidad of GALLETA SALTIN 3TACOS 3PQ X300g 100 Unidad of GALLETAS DUCALES 2 TAC 3pq X294g 20 Unidad of GALLETA TIPO LECHE 24 und X 321 g 5 Unidad of GALLETAS WAFER VAINILLA NOEL 24PQX432g 43 Unidad of GALLETA FESTIVAL SURTIDO 28PQX940.8g 40 Unidad of GALLETAS RECREO SURTIDA X28pqX1008g 30 Unidad of MAYONESA CONSTANCIA 12undX90g 30 Unidad of SALSA TOMATE CONSTANCIA 12undX90g,9644416.00,Grandes Superficies,Cartagena,Obligada,ND
2016,10021,Ejecutiva,Justicia y del Derecho,ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE CARTAGENA,Eduardo Enrique Millan Amador,08/19/2016 12:00:00 AM,MAKRO SUPERMAYORISTA S.A.S,Emitida,19487,400 Unidad of CIGARRILLO BOSTON AZUL BOX20X10 40 Unidad of LIMPIADOR FABULOSO BABY 3unds X 200c 20 Unidad of ESCOBA DALIA MANGO MADERA TASK 246 Unidad of JABON TOP COMBI FLORAL P3L4 X250g 12 Unidad of JABON PALMOLIVE AVENA CJ12PQX6undX130g 10 Unidad of MAQUINA AFEITAR MINORA II DISP X24unds 50 Unidad of TRAPERO SUPERLIVIANO 210 g 25 Unidad of DETERGENTE AS LIMON 24 unds X 250 g 20 Unidad of ENCENDEDOR WIN FESTIVAL DISPX25u 295 Unidad of BLANQUEADOR YES FLORAL 4 UND X 450CC,17187635.00,Grandes Superficies,Cartagena,Obligada,ND
2016,10023,Ejecutiva,Defensa Nacional,MINISTERIO DE DEFENSA NACIONAL - DIRECCION GENERAL MARITIMA (DIMAR),Ivis Zambrano Medina,08/19/2016 12:00:00 AM,MAKRO SUPERMAYORISTA S.A.S,Emitida,15768,1 Unidad of CALDERO RECORTADO 20 cm 12 Unidad of POCILLO CORONA CAFE COLOMBIA 150cc 12 Unidad of PLATO CORONA CAFE COLOMBIA 12.5cm 1 Unidad of CALDERO UNIVERSAL 42cm 1 Unidad of SARTEN IMUSA PROFESIONAL 24 cm 1 Unidad of SARTEN IMUSA 30CM 3 Unidad of RECIPIENTES JUEGO STAR 3 und X 2000 ml 10 Unidad of TAZA ALTA CORONA NEVADA 400 cc 1 Unidad of TABLA PARA CORTAR ARO 5 COLORES 30X20X1cm 1 Unidad of SARTENES SET DE 3 UNIDADES TRAMONTINA 18-20-24CMS 1 Unidad of CHOCOLATERA IMUSA ALUM 14cm 3-1l,459763.00,Grandes Superficies,Bogotá,Obligada,ND
2016,10030,Ejecutiva,Defensa Nacional,CENAC TUNJA,Harold Fernando Acosta Montenegro,08/19/2016 12:00:00 AM,Manufacturas Cadugi S.A.S.,Emitida,19512,84 Unidad of Camiseta NTMD 0077 A8 1 Unidad of IVA,850385.19,Material de Intendencia,Tunja,Obligada,ND
2016,10031,Ejecutiva,Defensa Nacional,CENAC TUNJA,Harold Fernando Acosta Montenegro,08/19/2016 12:00:00 AM,Manufacturas Cadugi S.A.S.,Emitida,19513,59 Unidad of Camiseta NTMD 0077 A8 1 Unidad of IVA,597294.36,Material de Intendencia,Tunja,Obligada,ND
2016,10034,Ejecutiva,Defensa Nacional,CENAC TUNJA,Harold Fernando Acosta Montenegro,08/19/2016 12:00:00 AM,Quest S.A.S.,Emitida,19520,99 Unidad of kit Clásico Clima Frio De 1 a 100- H 59 Unidad of kit Corbata Otros De 1 a 100- H 1 Unidad of Cabecera municipal- H 1 Unidad of IVA 1 Unidad of Gravamen adicional 40 Unidad of KIT CLASICO CLIMA FRIO DE 1 A 100 -H,44380719.87,Dotaciones de Vestuario,Tunja,Obligada,ND
2016,10037,Ejecutiva,Justicia y del Derecho,RECLUSIÓN DE MUJERES DE ARMENIA,Derly Constanza Valderrama Cortes,08/19/2016 12:00:00 AM,COLOMBIANA DE COMERCIO S.A Y/O ALKOSTO S.A,Emitida,17933,1 Unidad of Equipo Mini Sony MHC-GT5D 2 Unidad of Microfono Kalley K-MA30 1 Unidad of Bluray 3D LG BP450,2716900.00,Grandes Superficies,Armenia,Obligada,ND
2016,10038,Organismos autónomo o independientes,Función Pública,SANTANDER-INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL DEL MUNICIPIO DE BUCARAMANGA,Luis Fernando Prada Cobos,08/19/2016 12:00:00 AM,PANAMERICANA LIBRERÍA Y PAPELERÍA S.A.,Emitida,19442,35 Unidad of INACTIVE LEGAJADOR AZ OFICIO PLASTIFICADO PANAMER Cod: 8143959 15 Unidad of INACTIVE CORTADOR GRUESO PLASTICO SEGURO NEGRO RG Cod: 8490707 200 Unidad of INACTIVE BOLIGRAFO NEGRO BIC CRISTAL 111111002 Cod: 8490678 50 Unidad of INACTIVE BOLIGRAFO AZUL BIC CRISTAL UNIDAD Cod: 8078487 40 Unidad of INACTIVE BORRADOR NATA G.40 Cod: 8144739 10 Unidad of INACTIVE HUMEDECEDOR PASTA SORTKWIK 3/8 ONZ Cod: 8141263 30 Unidad of INACTIVE CLIP COLORES PLASTIFICADO CAJA X 100 Cod: 8490774 12 Unidad of INACTIVE CLIP MARIPOSA METALICO X 12 WINGO 5512 G Cod: 8018417 10 Unidad of INACTIVE PERFORADORA NHITAN 2 HUECOS 20 HOJAS Cod: 8490859 2 Unidad of INACTIVE DVD+R DVD GRABABLE 4.7GB 16X IMATION X25 Cod: 8114663 200 Unidad of INACTIVE CAJA PARA ARCHIVO INACTIVO NO. 12 NORMA Cod: 8073166 20 Unidad of INACTIVE GRAPA 26/6 X5000 COBRE LISA Cod: 8001503 20 Unidad of INACTIVE SACAGANCHOS 508B GENMES Cod: 8114095 240 Unidad of INACTIVE LAPIZ NEGRO MIRADO N. 2 Cod: 8081186 10 Unidad of INACTIVE LAPIZ PARA CHEQUEO ROJO UNIDAD Cod: 8117154 25 Unidad of INACTIVE CORRECTOR BOLIGRAFO DE BOLSILLO 8 ML Cod: 8490776 10 Unidad of INACTIVE LIBRO CONTABILIDAD 3 COLUMNAS 200 FOLIOS Cod: 8490723 10 Unidad of INACTIVE RESALTADOR AMARILLO SPEKTRA ERGONOMICO Cod: 8022486 10 Unidad of INACTIVE RESALTADOR NARANJA ERGONOMICO SPEKTRA Cod: 8490874 10 Unidad of INACTIVE RESALTADOR VERDE SPEKTRA ERGONOMICO Cod: 8022487 10 Unidad of INACTIVE RESALTADOR ROSADO ERGONOMICO SPEKTRA Cod: 8490875 20 Unidad of INACTIVE MARCADOR PERMANENTE NEGRO SHARPIE PUNTA FINA Cod: 8473138 280 Unidad of INACTIVE PAPEL BOND 60 GRS.OFICIO RESMA Cod: 8490810 220 Unidad of INACTIVE PAPEL RESMA CARTA BOND 60G XEROX Cod: 8026687 30 Unidad of INACTIVE PEGANTE BARRA X 40GR STUDMARK Cod: 8490857 50 Unidad of INACTIVE CINTA POLIPROPILENO 48X100 COLBON Cod: 8490751 11 Unidad of INACTIVE REGLA PLANA ACRILICA 30CM RAPID Cod: 8123282 70 Unidad of INACTIVE PASTA ARGOLLA CONVERTIBLE CARTA 105 1.5  R BLANCA Cod: 8490818 50 Unidad of INACTIVE FOLDER COLGANTE YUTE VARILLA METALICA Cod: 8490736 50 Unidad of INACTIVE GANCHO LEGAJADOR PLAST X20 CORREDE COLOR Cod: 8183435 68 Unidad of INACTIVE BANDERITAS X5 COLORES 1.27X1.3CM X125HJS Cod: 8490621 1 Unidad of Gravámen adicional,8697764.00,Grandes Superficies,Bucaramanga,No obligada,ND
2016,10042,Ejecutiva,Defensa Nacional,AGENCIA LOGISTICA DE LAS FUERZAS MILITARES - REGIONAL ATLANTICO,Stefanie Paola Contreras Velez,08/22/2016 12:00:00 AM,AUTOMAYOR S.A.,Cerrada,19510,2 Unidad of CHEVROLET DMAX(3) 2.5L MT 2500CC 4X4 ABS 2AB 1 Unidad of Adecuaciones y Accesorios Adicionales 1 Unidad of Mantenimiento Preventivo 1 Unidad of Requerimientos de la Matricula 1 Unidad of Gravámenes adicionales 1 Unidad of Lugar de Entrega,228349829.00,Vehículos II,Cartagena,Obligada,ND
2016,10043,Ejecutiva,Defensa Nacional,CENAC TOLEMAIDA,Nelson Enrique Salgado Parra,08/22/2016 12:00:00 AM,Omar Vanegas Nieto,Emitida,18813,174 Unidad of kit Un par de zapatos Calzado De 101 a 500- M 1 Unidad of Otro no cabecera - municipal- M 1 Unidad of PT-kit Un par de zapatos Calzado 151 - 280- M 1 Unidad of IVA 1 Unidad of Gravamen adicional,16550389.00,Dotaciones de Vestuario,Nilo Cundinamarca,Obligada,ND
2016,10045,Ejecutiva,Transporte,UAE - AERONAUTICA CIVIL REGIONAL CUNDINAMARCA,Harol Rolando Wilches Machado,08/22/2016 12:00:00 AM,COLOMBIANA DE COMERCIO S.A Y/O ALKOSTO S.A,Emitida,19495,11 Unidad of Jabon en barra Lavar Rey 300g x3,39600.00,Grandes Superficies,Bogotá,Obligada,ND
2016,8077,Ejecutiva,Ciencia y Tecnología,INSTITUTO DE EVALUACIÓN TECNOLÓGICA EN SALUD,Kelly Natalia Martínez Duarte,04/28/2016 12:00:00 AM,Confecciones Paez S.A.,Cerrada,16180,5 Unidad of kit Camisa sport o informal Otros De 1 a 100- H 5 Unidad of kit Pantalón de dril formal Otros De 1 a 100- H 1 Unidad of IVA 1 Unidad of Gravamen adicional,499455.00,Dotaciones de Vestuario,Bogotá,No obligada,ND
2016,10025,Ejecutiva,Defensa Nacional,AGENCIA LOGISTICA DE LAS FUERZAS MILITARES,Luisa Fernanda Vargas Figueredo,08/19/2016 12:00:00 AM,Servicio Aéreo a Territorios Nacionales S.A.,Emitida,19214,1 Unidad of Suministro de Tiquetes Aéreos.,14660194.00,Tiquetes Aéreos,Bogotá,Obligada,ND
2016,10047,Ejecutiva,Defensa Nacional,CENAC TOLEMAIDA,Nelson Enrique Salgado Parra,08/22/2016 12:00:00 AM,Omar Vanegas Nieto,Emitida,18817,52 Unidad of kit Camiseta t-shirt blanca Otros De 1 a 100- H 109 Unidad of kit Vestido formal saco y pantalón Otros De 1 a 100- H 113 Unidad of kit Camisa formal manga corta Otros De 101 a 500- H 180 Unidad of kit Camisa formal manga larga Otros De 101 a 500- H 87 Unidad of kit Corbata Otros De 1 a 100- H 155 Unidad of kit Pantalón de dril formal Otros De 101 a 500- H 1 Unidad of Otro no cabecera - municipal- H 1 Unidad of PT-kit Camisa formal manga corta Otros 51 - 150- H 1 Unidad of PT-kit Camisa formal manga larga Otros 151 - 280- H 1 Unidad of PT-kit Pantalón de dril formal Otros 151 - 280- H 1 Unidad of IVA 1 Unidad of Gravamen adicional,45546361.80,Dotaciones de Vestuario,Nilo Cundinamarca,Obligada,ND
2016,10049,Ejecutiva,Defensa Nacional,CENAC ING,Jose Gregorio Carvajal Vera,08/22/2016 12:00:00 AM,Unicombustibles,Emitida,19117,402 707 172 Peso (COP) of Combustible Unicombustibles - Bogotá,402707172.00,Combustible (Bogotá) II,Bogotá,Obligada,ND
2014,1005,Ejecutiva,Trabajo,UAE - ORGANIZACIONES SOLIDARIAS,Laureano Hernández Barreto,12/18/2014 12:00:00 AM,Organización Terpel S.A.,Cerrada,3015,1 000 000 Peso (COP) of Combustible Terpel - Bogotá,1000000.00,Combustible (Bogotá),Bogotá,Obligada,ND
2016,10050,Ejecutiva,Defensa Nacional,CENAC TOLEMAIDA,Nelson Enrique Salgado Parra,08/22/2016 12:00:00 AM,Inversiones Giratell Giraldo S.C.A.,Emitida,18821,95 Unidad of kit Un par de zapatos Calzado De 1 a 100- H 1 Unidad of Otro no cabecera - municipal- H 1 Unidad of IVA 1 Unidad of Gravamen adicional,9575348.00,Dotaciones de Vestuario,Nilo Cundinamarca,Obligada,ND
2016,10052,Ejecutiva,Defensa Nacional,CENAC TOLEMAIDA,Nelson Enrique Salgado Parra,08/22/2016 12:00:00 AM,Inversiones Sara de Colombia S.A.S.,Emitida,18824,240 Unidad of kit Sastre formal chaqueta y falda o pantalón Otros De 101 a 500- M 565 Unidad of kit Blusa formal manga corta Otros De 101 a 500- M 470 Unidad of kit Pantalón formal Otros De 101 a 500- M 1 Unidad of Otro no cabecera - municipal- M 1 Unidad of PT-kit Sastre formal chaqueta y falda o pantalón Otros 151 - 280- M 1 Unidad of PT-kit Blusa formal manga corta Otros 281 - 500- M 1 Unidad of PT-kit Pantalón formal Otros 151 - 280- M 1 Unidad of IVA 1 Unidad of Gravamen adicional,62805908.00,Dotaciones de Vestuario,Nilo Cundinamarca,Obligada,ND
2016,10053,Ejecutiva,Defensa Nacional,CENAC TOLEMAIDA,Nelson Enrique Salgado Parra,08/22/2016 12:00:00 AM,Subatours S.A.S.,Emitida,19395,1 Unidad of Suministro de Tiquetes Aéreos.,4000000.00,Tiquetes Aéreos,Nilo Cundinamarca,Obligada,ND
2016,10054,Organismos autónomo o independientes,Educación Nacional,UNIVERSIDAD NACIONAL DE COLOMBIA,Julio César Morales Castañeda,08/22/2016 12:00:00 AM,COLOMBIANA DE COMERCIO S.A Y/O ALKOSTO S.A,Emitida,18951,2 Unidad of AIO 23  HP 23 -R101LA Ci3 Ng 1 Unidad of Portatil 14  HP AC143 Ci5 Slv,5797000.00,Grandes Superficies,Bogotá,No obligada,ND
